text	label	category
@USER Makes you realize how good he is with words. Too bad the PC crowd keeps him toned down.	NOT	nan
@USER She’s one of those ‘kooky’ liberals.	OFF	TIN
@USER Like if you didn’t get fired from ESPN	OFF	TIN
@USER @USER I don't understand how it's racist tho..	NOT	nan
@USER It’s (she) is a real problem.	NOT	nan
@USER those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best. Send YOUR kid to one of those schools and we might get some action on gun control. Hypocrite.	OFF	TIN
@USER @USER Poor sad liberals. No hope for them.	OFF	TIN
I got more common sense than all of my followers  :)	OFF	TIN
@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass... COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This 'shit' never ends... Ooops...	OFF	TIN
@USER sorry for so much bs to get to this but here is the article i read URL	NOT	nan
@USER @USER @USER @USER @USER @USER You're absolutely insane if you think a hearing for a supreme court judge is a appropriate place for a mourning father to talk about gun control. He doesn't enact laws....he upholds them. He should have demanded his state senator shake his hand	NOT	nan
@USER ATTENTION! @USER is publicizing an ANTIFA TARGET  list comprised of Trump Supporters' names. Some are high profile names and MANY are random everyday Trump supporters. Twitter has NOT suspended his account. Check out his Lists"."	NOT	nan
@USER Even if the devil did make every single one of those priests rape children... Why does the pope refuse to condemn it? Why didn't he remove from leadership the rapist brought to him?	OFF	TIN
@USER I do like your tweets!, But maybe you should be more focused on consolidating them and sending fewer out, I miss many of them and you leave yourself open to the New Liberal Fascist Movement Antifa?""	NOT	nan
@USER I didn’t tweet this lol I needa get my Twitter off this shit	OFF	TIN
@USER Because he hates	NOT	nan
@USER The hypocrisy of the #NEverTrump movement exposed. We hate Trump but thumbs up for his vile policies and anti abortion SCOTUS pick.  Why liberals claim them as our allies boggles my mind.	NOT	nan
@USER “Yes you are.. ”	NOT	nan
@USER @USER @USER ok say less im ready whenever he is	NOT	nan
@USER 21k dong	NOT	nan
@USER She is.  Ur screwed.  Trump owns scotus and he will exact a wrath upon enemies after the midterms	OFF	TIN
@USER @USER No one cares about her gold digging and possibly illegal recordings.	NOT	nan
@USER @USER You mean you didn’t see AntiFa there?	NOT	nan
@USER Then HAUL YOUR FAT ASS IN HARMS WAY YOU DRUGGIE!!!	OFF	TIN
@USER You are only believing her Because she is a Women.	NOT	nan
@USER @USER Yup hahaha she is cute	NOT	nan
@USER He knows you’ll deny him a fair exchange - Based on recent and past interactions with Conservatives - Speaks to your poor ratings.	NOT	nan
@USER I really think he is going to be GOOOOOOOOOOOOD.	NOT	nan
we need more unity to grow our voices.........libs seem to band together much better than right........FOLLOW ALL #MAGA patriots please!!!  🇺🇸 URL	NOT	nan
#Trump #MAGA | @USER : Jack Dorsey, to his credit, has openly acknowledged that he has a culture within his company that is hostile to conservatives. Now the question is, what is he going to do about it?" URL  URL |"	NOT	nan
@USER He was the victim.  Now let’s hear about her blood test since she is the perpetrator.  What shape was she in?	NOT	nan
@USER @USER They will be cheating if she gets it!	NOT	nan
@USER @USER You both look lovely! #FLOTUSrocks #MAGA 🇺🇸🙌🏾	NOT	nan
Sorry right wingers 😳😉”Look for a Kaepernick sales 'bump' in Nike's earnings next week” #NikeAd #BoycottNFL #BoycottNike #maga  URL	NOT	nan
@USER No she hasn't. What reform"? She is getting Trump to free particular famous people, in exchange for attention. The policies are worse now."	NOT	nan
@USER IT'S FUCKING TIME!!	NOT	nan
@USER You are 100% correct	NOT	nan
@USER @USER Anyone can say or write anything about themselves. Suppose tomorrow she says that she is a prophet and human race needs to follow her.  What does that tell about her ?  Once I see someone as useless moron I stop giving them any attention. You do the same brother. She is nobody.	OFF	TIN
.@USER   What say you now?  I guess it's ✌️for liberals to use the so called white power" gesture.  URL	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Hahaha by telling me to stfu?  So hurt 🤣	NOT	nan
@USER @USER Loool. It is 🙈 he’s half Jamaican isn’t he? Does he resonate more with African culture? I know the rest of you are African. It’s just that I didn’t feel there was a strong representation from anyone Caribbean to be able to share their thoughts on a Caribbean carnival that’s all.	NOT	nan
@USER You are definitely living outside DC. I can’t get this book through Amazon in VA for two weeks becaus it’s back ordered. The first print is 1 M copies!	NOT	nan
@USER its so cool that the blind idiot god" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred"	OFF	UNT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ‘😂.... it’s ALL about MAGA for me....as a very dear friend says   •1Million followers and $1.95 will buy you ☕️😂  #FACT	NOT	nan
@USER @USER @USER The tourist on holiday with his parents place a sticker on a pole in Turkey while his parents ate a restaurant and you call that support	NOT	nan
@USER @USER He is delirious!	OFF	TIN
@USER How is this possible?  Brady gave California a A+ rating on gun control.	NOT	nan
@USER I love that she is using her platform for something positive and meaningful.. 🙌🏽💯👏🏽	NOT	nan
@USER Rezz is a dumb bitch who will get a rude awakening from BNF in Mexico lol URL	OFF	TIN
Alert: Candace Owens Was Just Attacked By Antifa URL	OFF	TIN
@USER Breibart=Comic section!	NOT	nan
@USER Got beat by WWE....take another knee.	NOT	nan
@USER @USER @USER I don't think he is	NOT	nan
@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual	OFF	TIN
@USER @USER @USER @USER The tenet of our American Justice system...accompanies to liberals GUILTY UNTIL PROVEN INNOCENT!" URL	NOT	nan
@USER Thank you Secretary Pompeo for all your hard work! You sir are a true patriot! God bless America! #MAGA	NOT	nan
@USER So the FBI is a hotbed of liberals and leftists???? 🤣🤣🤣🤣 you are no Brian Dennehy.	NOT	nan
@USER @USER when robyn posts a selfie the world stops for a moment to appreciate it	OFF	TIN
@USER @USER @USER The Democrats are so desperate all those ppl threatening Sen Collins are from CA. They will do anything to delay or halt confirmation and @USER re-election is on the line she is desperate. The ppl &amp; GOP are quite aware of what is going on.	OFF	TIN
@USER @USER @USER @USER @USER  Who is Flake? If Flake wants to be someone &amp; heard stand for Senate race!	NOT	nan
@USER ROMY OMFG IM SOOO GLAD I MET YOU TOO BFF FOR LIFE ! YOU ARE THE BEST I LOVE TALKING TO YOU	NOT	nan
@USER So it moves forward. Damn the facts as long as you keep up the narrative! The Dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify Conservatives or justify the actions of liberals	OFF	TIN
@USER So black people need white liberals like you to keep them from turning to violence based on things they perceive to be offensive?	NOT	nan
VOTING IS NOT OPTIONAL!!! CERTAINLY NOT THIS NOVEMEBER…IT IS CRITICAL! LIKE &amp; SHARE IF YOU AGREE! #MustVote2018 #Republicans #WakeUpRepublicans #Conservatives #MAGA URL	NOT	nan
@USER Poor Baby.  This is why you and your entire network CAN NOT be trusted.    The only people still watching CNN are brainwashed liberals and demonrats. URL	OFF	TIN
@USER Get the hell out of my country that u hate @USER the u have trashed &amp; weaponized OUR GOVT for 8 yrs to destroy us &amp; quit telling our kids to hate the best county your a disgrace!	NOT	nan
@USER He’s going down with the rest of them #deepstate #ObamaWorstPresidentEver	NOT	nan
#Parents of Parkland #victims call for stricter #gun control at rally - Sep 8 @ 11:29 PM ET  URL	NOT	nan
@USER @USER She's right, she's not one of," she is "the one and only.""	NOT	nan
@USER Best part is if you read the exchange he had in that thread, a year later this dude comes back on his same blm and Antifa caused nazis" bullshit lmao.   And by "best" i mean saddest."	NOT	nan
@USER and that was all done before I was 25 younger then this moron at 18 I was at Parris Island and at 25 I was at the New Jersey State Police Academy for a municipal class for 14 weeks she was tending bar at 25 and listening to all her drinking customers she is a joke	NOT	nan
@USER @USER (She is clearly agitated in a defensive stance) Shit- what is she doing here	OFF	TIN
@USER @USER I think they meant to write Michael.	NOT	nan
@USER @USER @USER @USER Who is ok with Antifa? I’m not. There are medicines for your condition ma’am...	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are suggesting that it is not the     law and policy (sanctions regime) that informs rates of benefit sanctions. The graph would suggest that is true as by 2017 the sanctions rate was lower than it was under the previous sanctions regime. Good observations about pressure"++"	NOT	nan
@USER Then your gonna get bitten	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER For example, I don't think that liberal imposition or inauthenticity" is the issue here. The issue is that of borders and citizenship - liberals assume the same rights and equalities arguments apply across borders that apply within borders. But that is not a widely shared view."	NOT	nan
@USER He looks like the ANTIFA President?	NOT	nan
@USER @USER @USER Alaska Girl chiming in...if Murkowski votes yes she is done for!! From what I know most native tribes have told her to vote no! Kavanaugh on scotus would decimate Alaska Natives!!	NOT	nan
@USER @USER send in some of your antifa super soldiers to sort these Tommy Robinson fans out.	NOT	nan
@USER is for everyday working men and women. Vote Republican and keep Trump and his policies.  A vote for a @USER will cost you money folks. #MAGA #WINNING URL	NOT	nan
@USER Woodword's book is slander.  He is nothing but a Clown Tool!	OFF	TIN
@USER How many more??? This country MUST address sensible gun control! This is more than ENOUGH!!!  VOTE BLUE! GET THIS GARBAGE CLEANED OFF OUR STREETS!	OFF	UNT
@USER It appears to be paired with a WOO-HOO so he must think he is on his way to a brothel.	OFF	TIN
@USER @USER @USER She is mentally unstable.	OFF	TIN
@USER Character and Clinton. Cartoon maybe	OFF	TIN
@USER Yup total gun control works just fine.  Well not in Mexico.	NOT	nan
--; @USER Good friends are like stars: You don’t always see them but you know they are there. You are a star in my life. ☆ URL	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER I like that they aren't mincing around with her. I do not understand why she is denying doing porn.	OFF	TIN
@USER How many are willing to testify under oath that they actually knew Kavanaugh? How many would testify to having said NO" to Kavanaugh? Until you have said "no" to man, you do not know what he is like."	NOT	nan
@USER @USER @USER @USER @USER FEMA has contacted the Senator and was told.its a TV hit you take them when you can" He Is a liar.  If he had a set... he would put on his big girl panties and tell the truth!"	OFF	TIN
@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room.	OFF	TIN
@USER What you thinking about ?	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So absurd.  The left has been fielding violent feminists and communists in the form of Antifa to attack the very peaceful transition of power for more than two years.    I wonder if it will ever occur to you that you are the bad guys?  I doubt you have the moral fortitude.	OFF	TIN
@USER Why r u still pushing this. He is burnt. He has been outed as a sexual predator and Feinstein is ur new hero. Mondy there will be a list of women a mile long that he raped or worse. It's all Trumps fault.	NOT	nan
Anyone surprised? @USER  #CloserNation  #MAGA #QAnon URL	OFF	TIN
@USER Reports reaching you? But you tweeted earlier that you are at the Kaduna Stadium	NOT	nan
@USER You are an amazing mom❤ URL	NOT	nan
@USER Not if you are from Wisconsin. And it’s a bubbler. And duck duck goose.	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all MAGA	NOT	nan
@USER Can we please now be honest with ourselves and acknowledge this trans stuff is a mental disorder? And NOT normal human behavior?	NOT	nan
@USER Good liberals will allow a rapist" to continue serving on a federal district court while his victim continues to suffer?    But...you said....you said...."	OFF	TIN
@USER Then why are you pretending to be something your not???You are a phony and all your lies won't change that!	OFF	TIN
@USER @USER @USER @USER @USER No it's genetic.   Being racial isn't racist  This was co opted by the liberals and twisted into something it's not.   The actual definition of racism is thinking one race is better or inferior to another race    So (looking out for your own race) doesn't meet the definition	NOT	nan
@USER Beer can red cabbage also owns the conservatives URL	NOT	nan
Give me a break!!  #Unbelievable #liberallosers #Trumpman #MAGA #DrainTheSwamp URL	NOT	nan
@USER @USER So is Marr really a member of the Labour Party? And Attlee and Orwell said they were conservatives? I am interested in why you think Labour is conservative.  However I don't see liberal as the opposite of conservative. Liberal poltics and economics are both right wing. Imho :)	NOT	nan
@USER @USER @USER @USER Seriously 😂 no word of a lie though I am all done with live feeds after she is evicted. I cannot handle another second of all the other houseguests	NOT	nan
@USER She is never been tortured" She was ans still be a crminal, terrorist, must be in jail!"	NOT	nan
@USER Behar..Aren’t you Jewish?  Do you really “NOT KNOW”...that you are supporting and siding with Nazis?  The Dems have been running Hitler’s Playbook for years!  WHY DO NEW YORK JEWS SIDE WITH NAZIS ? You Speak Against Israel.. WHY?  Are you Pandering in case they do take over? WHY?	NOT	nan
@USER I feel as guys we rush into something because of how a girls looks. Without really knowing how she is. And once having her. Knowing her for who she is and realizing you dont want that without thinking of the implications or damage it can do to the girls mind.	NOT	nan
@USER She mocked SJWs and the KKK with extremely clever satire. The fact you don’t have a sense of humor or are too stupid to get it is our fault. None of that means you get to denigrate or lie about her or her motives. She is a Native American woman and you are a bigoted misogynist.	OFF	TIN
@USER @USER @USER Medically this kind are known as Histrionic Personality Disorder".BTW If she is brave enough to continue this heroineics with other holy books,then I will accept that India is definitely changing."	NOT	nan
@USER @USER @USER However if by at the top" you mean Senior Engineers generally, then you are *once again* confusing individual competence - which surprise surprise hasn't changed - with organisational structure and competence. Good people thrive in a structure that allows things to get done"	NOT	nan
@USER @USER @USER Are you saying he is a turkey chocker 😶	OFF	TIN
@USER @USER @USER I'd trust mark Dobson over you sorry lot running ( I use that term loosley) our fine city. Stop behaving like a petulant 6 year old and start doing what you are elected for.	NOT	nan
@USER @USER Such delusional liberals..! So twisted with hate you can't even acknowledge the U.S. Airforce..!!	OFF	TIN
@USER @USER She is better than all this shit. She is better than anything. ❤️	OFF	UNT
@USER Comes with the territory but I’m going to say it’s the same leftist that control antifa...just to make more out of it than it actually is! Just saying	NOT	nan
@USER @USER @USER @USER This is why I don’t like liberals they don’t have a civil conversation or come with evidence just feelings and out of context quotes.	NOT	nan
@USER damn what i would do to be able to eat that pussy	OFF	TIN
@USER I think liberals call that a front hole now. Been having fun with that one.	NOT	nan
@USER What exactly is it about Willy that anyone with half a brain would consider conservative?   The guy is literally a poster child for Liberals	OFF	TIN
@USER No worries Lou👍 God’s Hand is directing the TRUMP AGENDA and He will not be thwarted by Satan💥 GOD’s timing is not our timing. He is slowly revealing the Deep State SWAMP creatures‼️#REDtsunami2018 #TRUMP2020🇺🇸	NOT	nan
@USER He is correct	NOT	nan
@USER @USER Sharyl Attkisson is NOT the MSM!  She is a truth-teller.	NOT	nan
@USER @USER Queen Of Rap 😛 Other Bitches can knot relate	OFF	TIN
@USER Well your a tool for the liberals so I’m not surprised you don’t see. Pretty much a tool in general...	NOT	nan
@USER @USER She is great	NOT	nan
@USER I love her! She is the sweetest! 💕	NOT	nan
@USER Ah that’s shite. Can’t understand why people go to a football match to do their best impression of a mute.   I’m trying for tickets in the Kop next chance I get because I assume the Main Stand has more or less the same atmosphere as the Kenny.	NOT	nan
@USER I would be worse than her licking that ass	OFF	UNT
@USER So a pathological liar is going to give the Judge a lecture on credibility because the judge won’t admit to something he didn’t do...   and we are the stupid ones.... 😳   And liberals have no shame in the ignorance of their elected representatives.	OFF	TIN
@USER @USER @USER We have a stupid problem. Conservatives don’t just hate studies by smart people  (smart people suck) that show data (data schmata) and facts (#fakenews) but just being near one can turn somebody into a nitwit. #cdnpoli	OFF	UNT
@USER @USER Funny how liberals change their tune about women accusers based SOLEY on their political persuasion!   Isn’t there a term for that?   Oh yeah!   #HYPOCRITICAL!	NOT	nan
@USER SHE IS CUTE I LOV HER	NOT	nan
@USER BITCH	OFF	TIN
@USER @USER Kisses!😘😘	NOT	nan
@USER @USER @USER @USER Welcome guys!!!	NOT	nan
@USER He is not to be trusted	NOT	nan
@USER If Jamie Oliver fucks with my £3 meal deals at Tesco I’ll kill the cunt	OFF	TIN
@USER I CARE THAT HE WAS MURDERED. I don't care whether he had some weed in his home (like a whole lot of Americans do) any more than I'd care if you said he had 100 pairs of socks. He is the victim. You are trying to smear the victim. You are despicable.	OFF	TIN
@USER He is like a cheap plastic version of a real president.	NOT	nan
@USER @USER They didn't actually they engaged in an extortion racket via austerity and borrowed like no other	NOT	nan
@USER If its a papercup where is the cake 🎂 URL	NOT	nan
@USER You are agent of #Crypt #agentofChaurch . So don’t speak on temples. @USER @USER @USER	NOT	nan
@USER Haven't set any expectations on him... he has set his own goals chasing his own dreams..  he has asked those questions from the doctor and making decisions with advisement from me his parent... he is growing to be his own man	NOT	nan
.@USER   #Medicare is NOT #Medicaid ...  Liberals STEAL from the elderly and disabled to pay for   #WelfareFoAll	NOT	nan
@USER @USER He shall know your ways as if born to them.	NOT	nan
@USER @USER @USER I should wash your mouth out with soap for saying that! I have the utmost respect and admiration for our cops. I don’t have that for dirt bags who would break into my home.  Gun control means a steady hand not an empty one. Go talk to Antifa buddies about being a drain	OFF	TIN
@USER Sexy	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER She's not who she claims she is. That's the logical (and humanitarian) explanation.	NOT	nan
@USER HE IS A RUSSIAN SPY /HAVE RECEIVED MUCH MONEY FROM PUTIN.	OFF	TIN
@USER @USER Well he's a liberal so that explains it. Who knows the shooter may be a liberal as far as he knows. Liberals are very hateful violent people and must be defeated!	OFF	TIN
@USER That strict gun control is sure helping in California🙄	NOT	nan
@USER You are not alone.   I am here with you.   Razzinfrazzinmaggle	NOT	nan
@USER @USER No news. orgs. are giving Faith Goldy the time of day. That's simply wrong. She may not have the experience of the other two useless fools but she cares and she is no one's fool.	OFF	TIN
10th duet with my cutiee angel @USER 😘😍💕 she is damn awesomee in this 💕💕 her  expressions 😘just killing 😍love to do this 😍😉🙌 nly for u #mybubblygirl #anupama #dreamgirl #BCO love u my cutiee doll💕😘 URL	NOT	nan
@USER @USER Can you show me gun control organisations that are exclusively trying to take away guns from black people??	NOT	nan
@USER i just gave Beto $100 and you all should as well.  Trump called Ted's wife ugly and he is still licking his boots for help with reelection.	OFF	TIN
GOP in striking distance to retake Franken seat #MAGA URL	NOT	nan
@USER Prayers for your wife. I too had Colon Cancer..having bowel problems so apt w/GI after my Oncologist. So I know what she is going thru. Prayers for you both. Remember God is in control.	NOT	nan
@USER WHERE DO YOU FIND ANTIFA IN CHICAGO	NOT	nan
Was this a threat from @USER #DangerousDemocrats #maga URL	OFF	TIN
@USER Please tell the type of suede you are using for these pants to be $474.00. Must be shipped straight from Russa #GAPBeLike URL	NOT	nan
@USER @USER Liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence.  They imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them.	OFF	TIN
.@USER talks books + she is giving away a copy of her new book @USER #writerwednesday URL	NOT	nan
@USER 😂 liberals know how the avg voter feels like with the bs govts says n dnt do after	NOT	nan
@USER @USER Liberals own education in this country.  The faults of education lies on the federal socialization of our schools and the unions power over school boards.  Look where the worst schools are...	NOT	nan
@USER @USER @USER @USER @USER I didnt know my statement was for your entertainment but the root of this problem is conservatives dont root for Serena even though she is the greatest America female tennis player to play the game. So of course they will side with the ref and it all stems from racial resentment	NOT	nan
@USER great job winning this debate tonight !!!! You are clearly the best candidate for us. Can’t wait to vote for you on Tuesday.	NOT	nan
@USER She is beautiful	NOT	nan
@USER Let me borrow yo shit first 🤣	OFF	TIN
@USER It seems that @USER holds the whip hand when it comes to governing the @USER and Brexit.	NOT	nan
@USER WOW!  That lie'n bitch is at it again. URL	OFF	TIN
55-YO UP Woman Sells Portion of Her Own House to Rebuild Road In Village! - The Better India URL	NOT	nan
Shocking Undercover Video Exposes Communists Inside Government: “I Break Rules Every Day” - Sara A. Carter URL #MAGA  #WWG1WGA	NOT	nan
14. how kind she is	NOT	nan
@USER Oooohohohohohoh you are in for a wild ride!	NOT	nan
@USER @USER I got on and saw only 5 ratings. Where's the one you posted? Are you having internet connection problems? Is the #DeepState on to you too?	NOT	nan
@USER @USER All the news outlets can continue to write stories about Michael Moore and what he says but I’m one of the millions that don’t really give a hoot about Michael Moore and what he says	NOT	nan
@USER Stfu bitch lol why u Salty I’m tryna get twitter famous ya know	OFF	TIN
@USER @USER The fact he committed perjury in confirmation hearings should have got him booted out by now. Unfortunately the GOP seems to think it is OK to lie if you are on their team.	NOT	nan
@USER Gosh dangit!!!    IF we only had reasonable replica gun control this craziness wouldn’t happen!!   😉	NOT	nan
@USER ...@USER is 100% correct and should be applauded for criticizing our inept and corrupt President - not denounced for it.....@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER	OFF	TIN
@USER You turn a dull Tuesday night into a super sexy one! So hot! 🔥🔥🔥	OFF	TIN
@USER But not as despicable as her own.	OFF	TIN
@USER @USER @USER it’s too bad california doesn’t have any common sense gun control laws that prevent criminals from doing illegal things.	NOT	nan
@USER @USER Without question Professor Ford is troubled that's being polite. Half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. This is obviously a political ploy to deter scotus confirmation. @USER #MAGA	OFF	TIN
@USER @USER He is both evil and delusional. He eats those high quality paint chips.	OFF	TIN
@USER @USER shut that wanker up	OFF	TIN
@USER @USER @USER The vast majority of guns on Chicago streets come from neighboring Indiana. States with toughest laws &amp; a way to keep guns out have lowest gun-related murder rates. (ala Hawaii) Smart gun control works!	NOT	nan
@USER you are so beautiful	NOT	nan
@USER has this tropics update for us now... but she'll have the very latest details on #Florence with the new 11 p.m. advisory.   Be sure to join us TONIGHT at 11 for @USER News. #NBCCT URL	NOT	nan
@USER FUCK OFF	OFF	UNT
@USER i’m in hetero with you	NOT	nan
@USER @USER @USER Of course Swalwell and pencil neck will probably go into hiding like all liberals do when their BUSTED....  Melt down liberal left...love watching it	NOT	nan
@USER Here he is doing a demo URL	NOT	nan
@USER Liberals still don’t understand what evidence is. Color me shocked	NOT	nan
@USER @USER She’ll have a total mental breakdown when he is re-elected!!!!	OFF	TIN
22 kids a day shot in USA ? statues of children hiding under desks to silently plead with voters for protection URL URL	NOT	nan
@USER @USER What if she is saying lies? Were you present?	NOT	nan
@USER @USER is broadcast sewage! URL	NOT	nan
@USER Jonah hill ratted your sorry ass out wdym	NOT	nan
@USER You are welcome! URL	NOT	nan
@USER Al Franken had a photo of him assaulting a woman and liberals called it mock groping". The woman accusing Kavanaugh already changed her story from four guys to two at the alleged incident and won't even testify."	NOT	nan
@USER You are the cup holder.	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER that is about the saddest existence I have ever been privy to reading. Sucks to be you man	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He is one of @USER strongest supporter in Washington. The Primary is over The President &amp; Senator Have put the past to rest. Ask yourself are you Supporting our POTUS By talking about fellow conservatives	NOT	nan
@USER @USER We've had millions of people marching peacefully in the streets without incident. A small group of far left people got violent on a couple occasions when confronting alt-right hate groups. Antifa is not part of the Resistance any more than the KKK is part of the GOP. G'night.	NOT	nan
@USER Americans have had enough of liberals at ESPN and the NFL	NOT	nan
@USER @USER Just want you to look at her face the bright enthusiastic happy person she is !	NOT	nan
@USER I guess Antifa will get the same treatment when they decide to loot.	NOT	nan
@USER So... Did Angela hook up with a younger guy so she has someone to wipe her butt when she is 75?	OFF	TIN
@USER Good!!! This will surely show us how croocked he is. 😂😂😂	OFF	TIN
just love this meme is all  a lil levity for a heavy day of cognitive dissonance  #QAnon #MAGA #Trump #WWG1WGA #GreatAwakening #pray URL	NOT	nan
@USER Animal Mother!  You are the man! URL	NOT	nan
@USER @USER @USER @USER @USER @USER @USER Exactly Hat @USER  are true Feckers ! I detest them	OFF	TIN
@USER still waiting for mine fat	OFF	UNT
@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the hell is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her family think about her going nuts!	OFF	TIN
@USER Did you just replace the n-word with Dude?	NOT	nan
@USER  I think he could be called a turncoat  talking out of both sides of his fucking mouth  Lindsey Graham can no longer be trusted URL	OFF	TIN
@USER @USER @USER The left are the ones spending all our money. It wasn't the right that gave us 325 billion in debt that was the left. Remember when the liberals screamed to high heavens when Harris taklked about privitizing Hydro one? The liberals did it.	NOT	nan
#Funny and #Hilarious #Meme for #Brexit people to deal with #Remainers .. as they simply have failed to put up a single argument and I am sure they are all #Leftists  #HardBrexit #MBGA #MAGA #MCGA #MEGA #Conservatives #Patriots URL	NOT	nan
@USER @USER @USER @USER Oh boo you sound so ignorant with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER Super President like Multiversity? Good ideia	NOT	nan
@USER This Witch Hunt against Kavanaughs is pitiful.  I can't believe anyone could find this story is believable.  Why didn't she come forward in 36 years?   It's crazy...set up by Liberals.	NOT	nan
@USER Why isn’t the media reporting the “Soros” connection. I saw only you tweet yesterday in regard to the lawyer of the alleged victim? Conservatives need to follow the money!	NOT	nan
@USER please be aware that the following person who has confirmed attending fordfestND is the guest list ,  is Canada's top antifa anarchist and intends to disrupt event . His name is Alex hundert  URL	NOT	nan
@USER Hawd me back. Hawd me back ". 😂"	NOT	nan
@USER Sucks	OFF	TIN
@USER Fuckkk 😂😂 I know I seen bitch that’s a slapper lmao	OFF	TIN
#Socialist #Liberals Clarify: 'We Only Want #Socialism For Everyone Else'. #Emmys #TuesdayThoughts #GlobalCitizen #Elections2018 URL	NOT	nan
@USER Everyone should vote regardless of the candidates and parties they support.	NOT	nan
@USER Boy was that photoshopped	NOT	nan
@USER @USER Lefty Pope should also! He is Not worthy rep for true christian roman catholics!! He failed his flock!	OFF	TIN
The party of Bill Clinton and Ted Kennedy are accusing Brett Kavanaugh of sexual misconduct while he was in high school.  Think about that Irony for a moment. #MAGA	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Ryan's wife was from a famously conservative Blue Dog Democrat family in Oklahoma. The conservatives that have left the Dems. She herself has always known to be conservative. She campaigned against Obama nationally in '08 and '12. URL	NOT	nan
@USER Lol you are representing your case well 😛  I'm gonna give call to my lawyer Matt Murdock.  Wait don't say he isn't coming back .😪	NOT	nan
@USER @USER @USER Of course. Self defense. The well-known standing someone else's ground" rule. She was the only one armed, the one entering his property, the one starting the interaction, how the actual fuck is it self defense? Seriously dude, don't you have a cross to burn or something?"	NOT	nan
@USER And honestly it’s ridiculous.. you are grocery shopping there is no need to be like That	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Little known fact Balaam raced donkeys and gambled on races. One day his fastest ass was winning the Jerusalem sweepstakes. And right before the finish the ass lost control running over a Samaritan and two Africans . Local antifa saw the whole thing and blamed the fastest ass!	OFF	TIN
@USER @USER @USER watch it again. For crying out loud he is talking about Joe within the first few minutes.	NOT	nan
@USER @USER @USER if she were a true Krishn bhakt she wouldn't even care about presence or absence of such laws... she would be above such issues... a typical Chandigarh mentality of one up manship she is caged in... call her anything but Krishn bhakt.. like who cares about what she is doing ...	OFF	UNT
@USER It's been up since Sunday night. He is a sloth.	OFF	TIN
@USER @USER SOME THINGS NEVER CHANGE! In 1991 #SCOTUS Clarence Thomas’s #HighTechLynching by @USER @USER &amp; @USER  #MAGA FIGHT BACK against these lies! #ConfirmKavanaugh  @USER @USER @USER @USER #DJT  #Kavanaugh #MeToo  URL	OFF	UNT
@USER You are awesome! I am so thankful I know you!	NOT	nan
@USER @USER Bitch shut up he building his self esteem	OFF	TIN
